Taxa;Symbiont
Alcyonium digitatum;Azooxanthellate
Alcyonium sp.;Zooxanthellate
Antillogorgia acerosa;Zooxanthellate
Asterospicularia sp.;Zooxanthellate
Bebryce indica;Azooxanthellate
Briareum asbestinum;Zooxanthellate
Briareum stechei;Zooxanthellate
Capnella lacertiliensis;Zooxanthellate
Capnella sp.;Zooxanthellate
Cladiella humesi;Zooxanthellate
Corallium rubrum;Azooxanthellate
Dendronephthya gigantea;Azooxanthellate
Dendronephthya hemprichi;Azooxanthellate
Dendronephthya sp.;Azooxanthellate
Efflatounaria sp.;Zooxanthellate
Eunicea calyculata;Zooxanthellate
Eunicea flexuosa;Zooxanthellate
Eunicea mammosa;Zooxanthellate
Eunicea succinea;Zooxanthellate
Eunicea tourneforti;Zooxanthellate
Eunicella cavolini;Azooxanthellate
Eunicella singularis;Zooxanthellate
Gorgonia ventalina;Zooxanthellate
Heteroxenia fuscescens;Zooxanthellate
Heteroxenia ghardaqensis;Zooxanthellate
Hicksonella princeps;Zooxanthellate
Isis hippuris;Zooxanthellate
Klyxum molle;Zooxanthellate
Lemnalia rhabdota;Zooxanthellate
Leptogorgia sarmentosa;Azooxanthellate
Litophyton arboreum;Zooxanthellate
Litophyton sp. ;Zooxanthellate
Litophyton spp. ;Zooxanthellate
Lobophytum gazellae;Zooxanthellate
Lobophytum pauciflorum;Zooxanthellate
Lobophytum spp.;Zooxanthellate
Melithaea aurantia;Azooxanthellate
Melithaea hicksoni;Azooxanthellate
Ovabunda macrospiculata;Zooxanthellate
Paralemnalia clavata;Zooxanthellate
Paralemnalia digitiformis;Zooxanthellate
Paralemnalia spp.;Zooxanthellate
Paramuricea clavata;Azooxanthellate
Plexaura homomalla;Zooxanthellate
Plexaurella fusifera;Zooxanthellate
Plexaurella nutans;Zooxanthellate
Primnoella sp.;Azooxanthellate
Primnoisis (Primnoisis) antarctica;Azooxanthellate
Pseudoplexaura porosa;Zooxanthellate
Pseudoplexaura wagenaari;Zooxanthellate
Pterogorgia anceps;Zooxanthellate
Rhytisma fulvum;Zooxanthellate
Rumphella aggregata;Zooxanthellate
Sarcophyton sp.;Zooxanthellate
Sarcophyton spp.;Zooxanthellate
Sarcophyton trocheliophorum;Zooxanthellate
Sinularia capitalis;Zooxanthellate
Sinularia densa;Zooxanthellate
Sinularia flexibilis;Zooxanthellate
Sinularia hirta;Zooxanthellate
Sinularia sp.;Zooxanthellate
Sinularia spp.;Zooxanthellate
Tubipora musica;Zooxanthellate
Xenia elongata;Zooxanthellate
Xenia spp.;Zooxanthellate
Xeniidae;Zooxanthellate
