"UsedName";"CHARmean";"Symbiont";"Hconsidering";"Authors";"Year";"Title";"Journal";"study.ID"
"Pterogorgia anceps";2;"Zooxanthellate";"Zooplankton";"Rossi et al";2020;"Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends";"Coral Reefs";3
"Plexaurella nutans";0.5;"Zooxanthellate";"Zooplankton";"Rossi et al";2020;"Trophic ecology of Caribbean octocorals: Autotrophic and heterotrophic seasonal trends";"Coral Reefs";3
"Eunicella singularis";16.2;"Zooxanthellate";"Zooplankton";"Coma et al";2015;"Natural heterotrophic feeding by a temperate octocoral with symbiotic zooxanthellae: a contribution to understanding the mechanisms of die-off events";"Coral Reefs";26
"Leptogorgia sarmentosa";87.7;"Azooxanthellate";"Zooplankton";"Rossi et al";2004;"Temporal variability in zooplankton prey capture rate of the passive suspension feeder Leptogorgia sarmentosa (Cnidaria: Octocorallia), a case study";"Marine Biology";77
"Primnoisis (Primnoisis) antarctica";49;"Azooxanthellate";"DOC; Phytoplankton; Zooplankton";"Orejas et al";2003;"Role of small-plankton communities in the diet of two Antarctic octocorals (Primnoisis antarctica and Primnoella sp.)";"Marine Ecology Progress Series";79
"Leptogorgia sarmentosa";302.6;"Azooxanthellate";"POC";"Ribes et al";2003;"Natural feeding of the temperate asymbiotic octocoral-gorgonian Leptogorgia sarmentosa (Cnidaria: Ocotocorallia)";"Marine Ecology Progress Series";80
"Alcyonium digitatum";593.8;"Azooxanthellate";"Zooplankton; Phytoplankton";"Migné and Davoult";2002;"Experimental nutrition in the soft coral Alcyonium digitatum (Cnidaria: Octocorallia): Removal rate of phytoplankton and zooplankton";"Cahiers de Biologie Marine";84
"Dendronephthya sp.";26;"Azooxanthellate";"Phytoplankton";"Widdig and Schlichter";2001;"Phytoplankton: A significant trophic source for soft corals?";"Helgoland Marine Research";89
"Paramuricea clavata";100;"Azooxanthellate";"DOC; POC; Phytoplankton; Zooplankton";"Ribes et al";1999;"Heterogeneous feeding in benthic suspension feeders: the natural diet and grazing rate of the temperate gorgonian Paramuricea clavata (Cnidara: Octocorallia) over a year cycle";"Marine Ecology Progress Series";96
"Dendronephthya hemprichi";126.9;"Azooxanthellate";"Phytoplankton";"Fabricius et al";1998;"In situ depletion of phytoplankton by an azooxanthellate soft coral";"Limnology and Oceanography";98
"Eunicea flexuosa";0.4;"Zooxanthellate";"Zooplankton; Phytoplankton";"Ribes et al";1998;"Heterotrophic feeding by gorgonian corals with symbiotic zooxanthella";"Limnology and Oceanography";100
"Dendronephthya hemprichi";655.4;"Azooxanthellate";"Zooplankton; Phytoplankton";"Fabricius et al";1995;"Flow-dependent herbivory and growth in zooxanthellae-free soft corals";"Limnology and Oceanography";104
"Paramuricea clavata";42.8;"Azooxanthellate";"Zooplankton";"Coma et al";1994;"Feeding and prey capture cycles in the aposymbiontic gorgonian Paramuricea clavata";"Marine Ecology Progress Series";107
"Alcyonium sp.";8.1;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Cladiella humesi";8.1;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Klyxum molle";25.2;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Lobophytum gazellae";50;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Sarcophyton trocheliophorum";8.9;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Sinularia densa";22.6;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Sinularia sp.";44;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Capnella sp.";24;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Dendronephthya gigantea";156.3;"Azooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Lemnalia rhabdota";14.6;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Litophyton arboreum";75;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Paralemnalia clavata";26.4;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Xenia elongata";8.3;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Isis hippuris";13.2;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Hicksonella princeps";51.6;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Rumphella aggregata";14.7;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Bebryce indica";115.3;"Azooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Melithaea aurantia";31.1;"Azooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Melithaea hicksoni";127.2;"Azooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Tubipora musica";91.7;"Zooxanthellate";"Zooplankton; Phytoplankton";"Sorokin";1991;"Biomass, metabolic rates and feeding of some common reef zoantharians and octocorals";"Marine and Freshwater Research";111
"Pseudoplexaura porosa";124;"Zooxanthellate";"POC";"Coffroth";1984;"Ingestion and incorporation of cora mucus aggregates by a gorgonian soft coral";"Marine Ecology Progress Series";118
